,Modelo,MA
0,ACCESS-CM2,0.109355
1,ACCESS-ESM1-5,0.166292
2,BCC-CSM2-MR,0.115727
3,CAMS-CSM1-0,0.313299
4,CanESM5,0.166669
5,CESM2_,0.103434
6,CESM2-WACCM,0.15623
7,CMCC-CM2-SR5,0.133995
8,CNRM-CM6-1,0.0314387
9,CNRM-ESM2-1,0.0199158
10,EC-Earth3,0.031747
11,FGOALS-g3,0.165534
12,HadGEM3-GC31-LL,0.0949806
13,HadGEM3-GC31-MM,0.0658137
14,IITM-ESM,-0.0509528
15,INM-CM4-8,0.0216748
16,INM-CM5-0,0.123658
17,IPSL-CM6A-LR,0.154262
18,KACE-1-0-G,0.0786749
19,MIROC6,0.0599589
20,MIROC-ES2L,0.00960557
21,MPI-ESM1-2-HR,0.221346
22,MPI-ESM1-2-LR,0.0720459
23,MRI-ESM2-0,0.0169435
24,NESM3,0.00685838
25,NorESM2-LM,0.277684
26,NorESM2-MM,0.0806917
27,TaiESM1,0.102515
28,UKESM1-0-LL,0.101289
