,Modelo,ON
0,ACCESS-CM2,-378388
1,ACCESS-ESM1-5,5.89045e+06
2,BCC-CSM2-MR,-9.15452e+06
3,CAMS-CSM1-0,2.35586e+07
4,CanESM5,1.36351e+06
5,CESM2_,7.96191
6,CESM2-WACCM,16.5242
7,CMCC-CM2-SR5,5.53228e+06
8,CNRM-CM6-1,4.09755e+07
9,CNRM-ESM2-1,-3.33054e+06
10,EC-Earth3,-6.26831e+06
11,FGOALS-g3,-1.06002e+07
12,HadGEM3-GC31-LL,-4.40189e+06
13,HadGEM3-GC31-MM,-2.68516e+07
14,IITM-ESM,1.64331e+07
15,INM-CM4-8,2.2783e+06
16,INM-CM5-0,-2.417e+07
17,IPSL-CM6A-LR,-8.60182e+06
18,KACE-1-0-G,-5.47238e+06
19,MIROC6,2.44795e+06
20,MIROC-ES2L,133.895
21,MPI-ESM1-2-HR,3.2757e+08
22,MPI-ESM1-2-LR,1.13284e+07
23,MRI-ESM2-0,4.98334e+06
24,NESM3,-4.51695e+06
25,NorESM2-LM,-2.72151e+07
26,NorESM2-MM,2.30721e+07
27,TaiESM1,-3.14955e+07
28,UKESM1-0-LL,5.71677
