,Modelo,ON
0,ACCESS-CM2,0.651658
1,ACCESS-ESM1-5,1.19311
2,BCC-CSM2-MR,0.713752
3,CAMS-CSM1-0,0.532903
4,CanESM5,0.862909
5,CESM2_,1.33828
6,CESM2-WACCM,1.43785
7,CMCC-CM2-SR5,1.04678
8,CNRM-CM6-1,0.382099
9,CNRM-ESM2-1,0.352579
10,EC-Earth3,1.43891
11,FGOALS-g3,0.720147
12,HadGEM3-GC31-LL,1.02575
13,HadGEM3-GC31-MM,0.954908
14,IITM-ESM,0.282457
15,INM-CM4-8,0.37244
16,INM-CM5-0,0.597412
17,IPSL-CM6A-LR,0.763268
18,KACE-1-0-G,0.606539
19,MIROC6,0.734052
20,MIROC-ES2L,0.586363
21,MPI-ESM1-2-HR,0.634727
22,MPI-ESM1-2-LR,0.886436
23,MRI-ESM2-0,0.478357
24,NESM3,0.841078
25,NorESM2-LM,0.99021
26,NorESM2-MM,1.08845
27,TaiESM1,1.15956
28,UKESM1-0-LL,0.715665
