,Modelo,ON
0,ACCESS-CM2,5.66231e+07
1,ACCESS-ESM1-5,2.93156e+07
2,BCC-CSM2-MR,-2.40239e+07
3,CAMS-CSM1-0,2.12926e+07
4,CanESM5,-1.89946e+07
5,CESM2_,96.8917
6,CESM2-WACCM,83.8284
7,CMCC-CM2-SR5,4.86989e+07
8,CNRM-CM6-1,7.70523e+07
9,CNRM-ESM2-1,-7.5106e+07
10,EC-Earth3,-5.67134e+07
11,FGOALS-g3,-1.694e+07
12,HadGEM3-GC31-LL,-3.42812e+08
13,HadGEM3-GC31-MM,1.50862e+08
14,IITM-ESM,-1.60328e+07
15,INM-CM4-8,1.44658e+07
16,INM-CM5-0,-5.85774e+07
17,IPSL-CM6A-LR,-3.36656e+07
18,KACE-1-0-G,-4.52143e+07
19,MIROC6,-1.87466e+07
20,MIROC-ES2L,-265.211
21,MPI-ESM1-2-HR,6.10973e+08
22,MPI-ESM1-2-LR,2.07047e+08
23,MRI-ESM2-0,2.43748e+07
24,NESM3,2.59347e+07
25,NorESM2-LM,6.29709e+07
26,NorESM2-MM,-4.66214e+07
27,TaiESM1,-8.59203e+07
28,UKESM1-0-LL,90.7926
