,Modelo,MA_mean,MA_error
0,ACCESS-CM2,4.66837,0.102517
1,ACCESS-ESM1-5,4.08239,0.049679
2,BCC-CSM2-MR,3.56771,0.0787907
3,CAMS-CSM1-0,2.54308,0.0699504
4,CanESM5,6.20221,0.0248615
5,CESM2_,4.92827,0.0778112
6,CESM2-WACCM,4.90071,0.0581745
7,CMCC-CM2-SR5,4.6532,0.107207
8,CNRM-CM6-1,4.7097,0.04841
9,CNRM-ESM2-1,4.3382,0.0516602
10,EC-Earth3,4.76913,0.0662863
11,FGOALS-g3,3.03335,0.0474237
12,HadGEM3-GC31-LL,5.35668,0.065034
13,HadGEM3-GC31-MM,3.70183,0.150032
14,IITM-ESM,2.96575,0.0931243
15,INM-CM4-8,3.08826,0.109365
16,INM-CM5-0,3.05075,0.0801448
17,IPSL-CM6A-LR,4.85612,0.0446788
18,KACE-1-0-G,4.74419,0.0929324
19,MIROC6,3.28903,0.0489921
20,MIROC-ES2L,3.4853,0.0888243
21,MPI-ESM1-2-HR,3.26157,0.0329782
22,MPI-ESM1-2-LR,3.30663,0.0320152
23,MRI-ESM2-0,3.6555,0.0778969
24,NESM3,4.22365,0.0684347
25,NorESM2-LM,3.17318,0.0879768
26,NorESM2-MM,3.27334,0.118814
27,TaiESM1,5.03901,0.116547
28,UKESM1-0-LL,5.79165,0.0789899
