,Modelo,ON_mean,ON_error
0,ACCESS-CM2,5.02936,0.112495
1,ACCESS-ESM1-5,4.26684,0.0528659
2,BCC-CSM2-MR,3.93189,0.0808541
3,CAMS-CSM1-0,2.73422,0.063701
4,CanESM5,6.46584,0.0246102
5,CESM2_,4.83703,0.0718768
6,CESM2-WACCM,4.80975,0.0542022
7,CMCC-CM2-SR5,4.57775,0.10584
8,CNRM-CM6-1,5.0984,0.0535892
9,CNRM-ESM2-1,4.67913,0.0588805
10,EC-Earth3,5.29939,0.0831959
11,FGOALS-g3,3.32646,0.0483026
12,HadGEM3-GC31-LL,5.83981,0.0697259
13,HadGEM3-GC31-MM,4.29172,0.189002
14,IITM-ESM,3.26495,0.114356
15,INM-CM4-8,3.41011,0.103112
16,INM-CM5-0,3.27136,0.0711913
17,IPSL-CM6A-LR,5.36174,0.0497394
18,KACE-1-0-G,5.01315,0.103499
19,MIROC6,3.49968,0.0541797
20,MIROC-ES2L,3.71774,0.0905918
21,MPI-ESM1-2-HR,3.50282,0.0328934
22,MPI-ESM1-2-LR,3.55152,0.0335692
23,MRI-ESM2-0,3.99119,0.0842081
24,NESM3,4.23081,0.0727832
25,NorESM2-LM,3.46241,0.0877743
26,NorESM2-MM,3.52003,0.114792
27,TaiESM1,5.29163,0.122146
28,UKESM1-0-LL,6.21947,0.0845355
