,Modelo,ON
0,ACCESS-CM2,10.8564
1,ACCESS-ESM1-5,5.91512
2,BCC-CSM2-MR,11.7788
3,CAMS-CSM1-0,2.74594
4,CanESM5,9.65419
5,CESM2_,10.4743
6,CESM2-WACCM,8.68421
7,CMCC-CM2-SR5,13.6648
8,CNRM-CM6-1,8.77391
9,CNRM-ESM2-1,6.57981
10,EC-Earth3,5.89239
11,FGOALS-g3,3.84471
12,HadGEM3-GC31-LL,12.3298
13,HadGEM3-GC31-MM,9.57771
14,IITM-ESM,1.32421
15,INM-CM4-8,2.03175
16,INM-CM5-0,4.85418
17,IPSL-CM6A-LR,10.5377
18,KACE-1-0-G,11.046
19,MIROC6,6.71212
20,MIROC-ES2L,7.14468
21,MPI-ESM1-2-HR,7.25249
22,MPI-ESM1-2-LR,8.80078
23,MRI-ESM2-0,6.25351
24,NESM3,8.32823
25,NorESM2-LM,8.84691
26,NorESM2-MM,10.9558
27,TaiESM1,13.6811
28,UKESM1-0-LL,13.9709
