,Modelo,DJF
0,ACCESS-CM2,0.138704
1,ACCESS-ESM1-5,0.371454
2,BCC-CSM2-MR,0.40808
3,CAMS-CSM1-0,0.739758
4,CanESM5,0.217586
5,CESM2_,0.419192
6,CESM2-WACCM,0.666932
7,CMCC-CM2-SR5,0.153438
8,CNRM-CM6-1,0.212103
9,CNRM-ESM2-1,0.153017
10,EC-Earth3,0.29893
11,FGOALS-g3,0.454529
12,HadGEM3-GC31-LL,0.245198
13,HadGEM3-GC31-MM,0.0505555
14,IITM-ESM,-0.269894
15,INM-CM4-8,0.140674
16,INM-CM5-0,0.44454
17,KACE-1-0-G,0.180018
18,MIROC6,-0.021372
19,MIROC-ES2L,-0.141223
20,MPI-ESM1-2-HR,0.525962
21,MPI-ESM1-2-LR,0.216951
22,MRI-ESM2-0,0.130645
23,NESM3,-0.0023702
24,NorESM2-LM,-0.160627
25,NorESM2-MM,-0.455172
26,TaiESM1,0.29965
27,UKESM1-0-LL,0.207049
