,Modelo,JJA
0,ACCESS-CM2,0.0387088
1,ACCESS-ESM1-5,0.106639
2,BCC-CSM2-MR,0.140426
3,CAMS-CSM1-0,0.0323676
4,CanESM5,0.0719294
5,CESM2_,0.0679204
6,CESM2-WACCM,0.127844
7,CMCC-CM2-SR5,0.125532
8,CNRM-CM6-1,-0.0236669
9,CNRM-ESM2-1,-0.0190359
10,EC-Earth3,0.0625573
11,FGOALS-g3,0.138449
12,HadGEM3-GC31-LL,0.0678174
13,HadGEM3-GC31-MM,0.0458914
14,IITM-ESM,-0.147878
15,INM-CM4-8,-0.0974637
16,INM-CM5-0,-0.00455661
17,KACE-1-0-G,0.0464712
18,MIROC6,-0.0163718
19,MIROC-ES2L,-0.078789
20,MPI-ESM1-2-HR,0.198513
21,MPI-ESM1-2-LR,0.00623645
22,MRI-ESM2-0,0.0836906
23,NESM3,0.0230411
24,NorESM2-LM,0.163752
25,NorESM2-MM,0.165205
26,TaiESM1,0.0524831
27,UKESM1-0-LL,0.0576759
