,Modelo,MA
0,ACCESS-CM2,0.319258
1,ACCESS-ESM1-5,0.403801
2,BCC-CSM2-MR,0.247863
3,CAMS-CSM1-0,0.465852
4,CanESM5,0.654705
5,CESM2_,0.28236
6,CESM2-WACCM,0.438638
7,CMCC-CM2-SR5,0.429987
8,CNRM-CM6-1,0.0849236
9,CNRM-ESM2-1,0.0518874
10,EC-Earth3,0.0909509
11,FGOALS-g3,0.28026
12,HadGEM3-GC31-LL,0.319522
13,HadGEM3-GC31-MM,0.215227
14,IITM-ESM,-0.0876584
15,INM-CM4-8,0.0395608
16,INM-CM5-0,0.247551
17,KACE-1-0-G,0.217932
18,MIROC6,0.106978
19,MIROC-ES2L,0.0122846
20,MPI-ESM1-2-HR,0.419936
21,MPI-ESM1-2-LR,0.140271
22,MRI-ESM2-0,0.0355601
23,NESM3,0.0170931
24,NorESM2-LM,0.46784
25,NorESM2-MM,0.142244
26,TaiESM1,0.297819
27,UKESM1-0-LL,0.285009
