,Modelo,ON
0,ACCESS-CM2,-0.00435491
1,ACCESS-ESM1-5,0.239734
2,BCC-CSM2-MR,0.271981
3,CAMS-CSM1-0,0.589615
4,CanESM5,-0.0619434
5,CESM2_,0.0926706
6,CESM2-WACCM,0.267483
7,CMCC-CM2-SR5,0.118916
8,CNRM-CM6-1,0.203196
9,CNRM-ESM2-1,0.015635
10,EC-Earth3,0.159037
11,FGOALS-g3,0.45063
12,HadGEM3-GC31-LL,0.0131709
13,HadGEM3-GC31-MM,-0.169961
14,IITM-ESM,-0.289508
15,INM-CM4-8,0.0586578
16,INM-CM5-0,0.246502
17,KACE-1-0-G,0.0734105
18,MIROC6,-0.0958534
19,MIROC-ES2L,-0.334399
20,MPI-ESM1-2-HR,0.340305
21,MPI-ESM1-2-LR,0.0485006
22,MRI-ESM2-0,0.0977985
23,NESM3,-0.146487
24,NorESM2-LM,-0.427954
25,NorESM2-MM,-0.538653
26,TaiESM1,0.425055
27,UKESM1-0-LL,-0.0870163
