,Modelo,ON
0,ACCESS-CM2,-0.00126525
1,ACCESS-ESM1-5,0.0827589
2,BCC-CSM2-MR,0.113007
3,CAMS-CSM1-0,0.360507
4,CanESM5,-0.0134709
5,CESM2_,0.034343
6,CESM2-WACCM,0.0875598
7,CMCC-CM2-SR5,0.0320294
8,CNRM-CM6-1,0.0636736
9,CNRM-ESM2-1,0.00507477
10,EC-Earth3,0.0444667
11,FGOALS-g3,0.241456
12,HadGEM3-GC31-LL,0.00310393
13,HadGEM3-GC31-MM,-0.0414347
14,IITM-ESM,-0.138838
15,INM-CM4-8,0.0297975
16,INM-CM5-0,0.112189
17,KACE-1-0-G,0.0222264
18,MIROC6,-0.0396489
19,MIROC-ES2L,-0.122927
20,MPI-ESM1-2-HR,0.152508
21,MPI-ESM1-2-LR,0.0214378
22,MRI-ESM2-0,0.0365342
23,NESM3,-0.0483925
24,NorESM2-LM,-0.197228
25,NorESM2-MM,-0.253104
26,TaiESM1,0.121935
27,UKESM1-0-LL,0.0125508
