,Modelo,JJA_mean,JJA_error,JJA_/K
0,ACCESS-CM2,0.142929,0.0343987,0.0294423
1,ACCESS-ESM1-5,0.329317,0.0128207,0.0796068
2,BCC-CSM2-MR,0.350516,0.0583428,0.0954991
3,CAMS-CSM1-0,0.0555158,0.0481575,0.0225078
4,CanESM5,0.356419,0.00312979,0.0587514
5,CESM2_,0.207363,0.0184082,0.0411315
6,CESM2-WACCM,0.407966,0.0209517,0.0829207
7,CMCC-CM2-SR5,0.510057,0.106578,0.108152
8,CNRM-CM6-1,-0.0858158,0.0300884,-0.0176946
9,CNRM-ESM2-1,-0.0659654,0.0206332,-0.0149658
10,EC-Earth3,0.254456,0.0231694,0.0527621
11,FGOALS-g3,0.250332,0.0139347,0.0855381
12,HadGEM3-GC31-LL,0.306997,0.0244271,0.0550752
13,HadGEM3-GC31-MM,0.199968,0.0198494,0.0459563
14,IITM-ESM,-0.330043,0.0745458,-0.115932
15,INM-CM4-8,-0.194179,0.097325,-0.0625961
16,INM-CM5-0,-0.0103028,0.0767803,-0.00340081
17,KACE-1-0-G,0.163455,0.0290388,0.0330812
18,MIROC6,-0.0416244,0.00947443,-0.0136569
19,MIROC-ES2L,-0.217343,0.0837986,-0.0650321
20,MPI-ESM1-2-HR,0.466197,0.0172875,0.142102
21,MPI-ESM1-2-LR,0.0148919,0.0103508,0.00451349
22,MRI-ESM2-0,0.230402,0.0591587,0.0597788
23,NESM3,0.0799612,0.0265603,0.019057
24,NorESM2-LM,0.40622,0.0962721,0.118383
25,NorESM2-MM,0.397071,0.0820254,0.117478
26,TaiESM1,0.189114,0.0846525,0.0369345
27,UKESM1-0-LL,0.211832,0.0236346,0.0354945
