,Modelo,MA_mean,MA_error,MA_/K
0,ACCESS-CM2,0.319258,0.0373011,0.0683874
1,ACCESS-ESM1-5,0.403801,0.0143771,0.0989126
2,BCC-CSM2-MR,0.247863,0.0497246,0.0694739
3,CAMS-CSM1-0,0.465851,0.0655214,0.183184
4,CanESM5,0.654705,0.00351434,0.10556
5,CESM2_,0.28236,0.0151333,0.0572939
6,CESM2-WACCM,0.438638,0.025029,0.0895049
7,CMCC-CM2-SR5,0.429987,0.107523,0.0924067
8,CNRM-CM6-1,0.0849237,0.0213057,0.0180316
9,CNRM-ESM2-1,0.0518873,0.0167097,0.0119606
10,EC-Earth3,0.0909512,0.0274229,0.0190708
11,FGOALS-g3,0.28026,0.0138967,0.0923929
12,HadGEM3-GC31-LL,0.319522,0.0198193,0.0596493
13,HadGEM3-GC31-MM,0.215227,0.0179015,0.0581408
14,IITM-ESM,-0.0876583,0.0736007,-0.0295569
15,INM-CM4-8,0.0395609,0.0380578,0.0128101
16,INM-CM5-0,0.247551,0.0186458,0.0811442
17,KACE-1-0-G,0.217932,0.0261725,0.0459366
18,MIROC6,0.106978,0.00587466,0.0325256
19,MIROC-ES2L,0.0122846,0.0621848,0.00352467
20,MPI-ESM1-2-HR,0.419936,0.0135015,0.128753
21,MPI-ESM1-2-LR,0.140271,0.00949752,0.042421
22,MRI-ESM2-0,0.03556,0.0945796,0.00972779
23,NESM3,0.0170928,0.0245264,0.00404693
24,NorESM2-LM,0.467839,0.121296,0.147435
25,NorESM2-MM,0.142245,0.108049,0.0434557
26,TaiESM1,0.297819,0.089759,0.0591027
27,UKESM1-0-LL,0.285008,0.0188007,0.0492102
