,Modelo,JJA
0,ACCESS-CM2,0.837559
1,ACCESS-ESM1-5,1.28562
2,BCC-CSM2-MR,0.516455
3,CAMS-CSM1-0,0.285841
4,CanESM5,1.23059
5,CESM2_,1.54337
6,CESM2-WACCM,1.56151
7,CMCC-CM2-SR5,1.17672
8,CNRM-CM6-1,0.301728
9,CNRM-ESM2-1,0.425892
10,EC-Earth3,1.30706
11,FGOALS-g3,0.425232
12,HadGEM3-GC31-LL,0.850196
13,HadGEM3-GC31-MM,1.16291
14,IITM-ESM,0.645144
15,INM-CM4-8,0.231128
16,INM-CM5-0,0.366874
17,KACE-1-0-G,0.64387
18,MIROC6,0.807293
19,MIROC-ES2L,0.669783
20,MPI-ESM1-2-HR,0.626428
21,MPI-ESM1-2-LR,0.444725
22,MRI-ESM2-0,0.439626
23,NESM3,0.636889
24,NorESM2-LM,1.19114
25,NorESM2-MM,0.853945
26,TaiESM1,0.875568
27,UKESM1-0-LL,0.753634
