,Modelo,MA
0,ACCESS-CM2,0.0833476
1,ACCESS-ESM1-5,0.269878
2,BCC-CSM2-MR,0.129101
3,CAMS-CSM1-0,-0.0861948
4,CanESM5,0.345909
5,CESM2_,1.53969
6,CESM2-WACCM,1.79657
7,CMCC-CM2-SR5,-0.0493291
8,CNRM-CM6-1,0.00361127
9,CNRM-ESM2-1,0.00395434
10,EC-Earth3,0.387619
11,FGOALS-g3,0.509808
12,HadGEM3-GC31-LL,0.26809
13,HadGEM3-GC31-MM,0.60351
14,IITM-ESM,0.284637
15,INM-CM4-8,0.0565511
16,INM-CM5-0,0.327271
17,KACE-1-0-G,0.0516023
18,MIROC6,0.536
19,MIROC-ES2L,0.601289
20,MPI-ESM1-2-HR,0.306687
21,MPI-ESM1-2-LR,0.357618
22,MRI-ESM2-0,0.452263
23,NESM3,-0.094119
24,NorESM2-LM,0.105302
25,NorESM2-MM,1.49461
26,TaiESM1,0.260155
27,UKESM1-0-LL,0.0229847
