,Modelo,MA
0,ACCESS-CM2,0.0285489
1,ACCESS-ESM1-5,0.11114
2,BCC-CSM2-MR,0.060277
3,CAMS-CSM1-0,-0.0579687
4,CanESM5,0.0880584
5,CESM2_,0.554076
6,CESM2-WACCM,0.631708
7,CMCC-CM2-SR5,-0.0153722
8,CNRM-CM6-1,0.00133658
9,CNRM-ESM2-1,0.0015177
10,EC-Earth3,0.135302
11,FGOALS-g3,0.301115
12,HadGEM3-GC31-LL,0.079692
13,HadGEM3-GC31-MM,0.184546
14,IITM-ESM,0.16545
15,INM-CM4-8,0.0309832
16,INM-CM5-0,0.16348
17,KACE-1-0-G,0.018629
18,MIROC6,0.300418
19,MIROC-ES2L,0.294928
20,MPI-ESM1-2-HR,0.161653
21,MPI-ESM1-2-LR,0.183679
22,MRI-ESM2-0,0.215493
23,NESM3,-0.0377636
24,NorESM2-LM,0.0625018
25,NorESM2-MM,0.847853
26,TaiESM1,0.0895499
27,UKESM1-0-LL,0.0376146
