,Modelo,ON
0,ACCESS-CM2,0.189324
1,ACCESS-ESM1-5,0.411875
2,BCC-CSM2-MR,0.296561
3,CAMS-CSM1-0,0.325832
4,CanESM5,0.18766
5,CESM2_,0.417935
6,CESM2-WACCM,0.444199
7,CMCC-CM2-SR5,0.281945
8,CNRM-CM6-1,0.119735
9,CNRM-ESM2-1,0.114438
10,EC-Earth3,0.402319
11,FGOALS-g3,0.385867
12,HadGEM3-GC31-LL,0.241731
13,HadGEM3-GC31-MM,0.232796
14,IITM-ESM,0.135455
15,INM-CM4-8,0.189195
16,INM-CM5-0,0.271897
17,KACE-1-0-G,0.18364
18,MIROC6,0.303634
19,MIROC-ES2L,0.243485
20,MPI-ESM1-2-HR,0.284453
21,MPI-ESM1-2-LR,0.391813
22,MRI-ESM2-0,0.178698
23,NESM3,0.277852
24,NorESM2-LM,0.45635
25,NorESM2-MM,0.511442
26,TaiESM1,0.332641
27,UKESM1-0-LL,0.199329
