,Modelo,DJF_mean,DJF_error,DJF_/K
0,ACCESS-CM2,0.244518,0.0230813,0.0477676
1,ACCESS-ESM1-5,0.568112,0.0124243,0.129218
2,BCC-CSM2-MR,0.505522,0.0478003,0.128282
3,CAMS-CSM1-0,0.29536,0.0370994,0.105579
4,CanESM5,0.191378,0.00163756,0.0292638
5,CESM2_,1.56578,0.0213445,0.302654
6,CESM2-WACCM,1.7399,0.0289247,0.339258
7,CMCC-CM2-SR5,0.0563605,0.0472561,0.0116294
8,CNRM-CM6-1,0.0691092,0.0154665,0.0133823
9,CNRM-ESM2-1,0.0799336,0.00895997,0.0168066
10,EC-Earth3,0.859887,0.0207568,0.167521
11,FGOALS-g3,0.734396,0.0207855,0.224185
12,HadGEM3-GC31-LL,0.376271,0.0126007,0.0644853
13,HadGEM3-GC31-MM,0.614353,0.0219386,0.154267
14,IITM-ESM,0.344957,0.110278,0.107915
15,INM-CM4-8,0.287922,0.0383417,0.0869646
16,INM-CM5-0,0.446912,0.0421783,0.135279
17,KACE-1-0-G,0.174277,0.0231098,0.033386
18,MIROC6,0.777133,0.0089797,0.219556
19,MIROC-ES2L,0.644292,0.0580386,0.172675
20,MPI-ESM1-2-HR,0.47513,0.00893076,0.13354
21,MPI-ESM1-2-LR,0.755478,0.00906673,0.211174
22,MRI-ESM2-0,0.431291,0.0451878,0.10667
23,NESM3,-0.0153295,0.025201,-0.00338043
24,NorESM2-LM,0.401736,0.0712406,0.115667
25,NorESM2-MM,1.31971,0.0957272,0.372678
26,TaiESM1,0.492395,0.0978425,0.091476
27,UKESM1-0-LL,0.510938,0.00887122,0.08237
