,Modelo,JJA_mean,JJA_error,JJA_/K
0,ACCESS-CM2,0.837559,0.0533754,0.172531
1,ACCESS-ESM1-5,1.28562,0.0192639,0.310777
2,BCC-CSM2-MR,0.516455,0.0885309,0.14071
3,CAMS-CSM1-0,0.285841,0.0560002,0.115889
4,CanESM5,1.23059,0.0066419,0.202849
5,CESM2_,1.60853,0.0226136,0.319059
6,CESM2-WACCM,1.58885,0.0289583,0.32294
7,CMCC-CM2-SR5,1.17672,0.118041,0.249512
8,CNRM-CM6-1,0.301728,0.0401184,0.062214
9,CNRM-ESM2-1,0.425892,0.0249808,0.0966237
10,EC-Earth3,1.30706,0.0427999,0.271023
11,FGOALS-g3,0.425232,0.0195128,0.145301
12,HadGEM3-GC31-LL,0.850196,0.0246015,0.152525
13,HadGEM3-GC31-MM,1.16291,0.0353465,0.267259
14,IITM-ESM,0.645144,0.137944,0.226616
15,INM-CM4-8,0.231128,0.0752505,0.0745069
16,INM-CM5-0,0.366875,0.0477736,0.1211
17,KACE-1-0-G,0.643869,0.0442673,0.130311
18,MIROC6,0.807292,0.0120879,0.264872
19,MIROC-ES2L,0.858493,0.0987375,0.256874
20,MPI-ESM1-2-HR,0.626427,0.0124319,0.190942
21,MPI-ESM1-2-LR,0.444725,0.0190046,0.134789
22,MRI-ESM2-0,0.439625,0.0760583,0.114063
23,NESM3,0.636889,0.0651118,0.151789
24,NorESM2-LM,1.19113,0.0950198,0.347127
25,NorESM2-MM,0.853945,0.108501,0.25265
26,TaiESM1,0.875568,0.156323,0.171
27,UKESM1-0-LL,1.45335,0.0283857,0.243524
