,Modelo,MA_mean,MA_error,MA_/K
0,ACCESS-CM2,0.0833474,0.0309127,0.0178536
1,ACCESS-ESM1-5,0.269878,0.0117193,0.0661076
2,BCC-CSM2-MR,0.129101,0.0381244,0.0361859
3,CAMS-CSM1-0,-0.086195,0.0328069,-0.0338939
4,CanESM5,0.345909,0.00713872,0.0557719
5,CESM2_,1.68833,0.0249209,0.34258
6,CESM2-WACCM,1.93381,0.0319772,0.394598
7,CMCC-CM2-SR5,-0.0493287,0.0772295,-0.010601
8,CNRM-CM6-1,0.00361133,0.027394,0.000766783
9,CNRM-ESM2-1,0.00395441,0.0232081,0.000911533
10,EC-Earth3,0.387619,0.0334384,0.0812766
11,FGOALS-g3,0.509808,0.0168386,0.168068
12,HadGEM3-GC31-LL,0.26809,0.0348778,0.0500478
13,HadGEM3-GC31-MM,0.60351,0.045965,0.163031
14,IITM-ESM,0.284637,0.082477,0.0959746
15,INM-CM4-8,0.0565512,0.0441827,0.0183117
16,INM-CM5-0,0.327271,0.0246393,0.107275
17,KACE-1-0-G,0.0516023,0.0263187,0.0108769
18,MIROC6,0.536,0.0226773,0.162966
19,MIROC-ES2L,0.379669,0.0338993,0.108934
20,MPI-ESM1-2-HR,0.306687,0.0138235,0.0940303
21,MPI-ESM1-2-LR,0.357618,0.0110726,0.108152
22,MRI-ESM2-0,0.452263,0.0662745,0.123721
23,NESM3,-0.094119,0.022307,-0.0222838
24,NorESM2-LM,0.105302,0.057284,0.0331851
25,NorESM2-MM,1.49461,0.0937182,0.456601
26,TaiESM1,0.260155,0.0708262,0.0516282
27,UKESM1-0-LL,0.370315,0.030004,0.0639395
