,Modelo,DJF
0,ACCESS-CM2,5.1189
1,ACCESS-ESM1-5,4.39655
2,BCC-CSM2-MR,3.9407
3,CAMS-CSM1-0,2.79752
4,CanESM5,6.53976
5,CESM2_,5.1735
6,CESM2-WACCM,5.12856
7,CMCC-CM2-SR5,4.8464
8,CNRM-CM6-1,5.16422
9,CNRM-ESM2-1,4.75608
10,EC-Earth3,5.13301
11,FGOALS-g3,3.27584
12,HadGEM3-GC31-LL,5.83499
13,HadGEM3-GC31-MM,3.98239
14,IITM-ESM,3.19657
15,INM-CM4-8,3.31079
16,INM-CM5-0,3.30362
17,KACE-1-0-G,5.22006
18,MIROC6,3.53956
19,MIROC-ES2L,3.73125
20,MPI-ESM1-2-HR,3.55796
21,MPI-ESM1-2-LR,3.57751
22,MRI-ESM2-0,4.04324
23,NESM3,4.53477
24,NorESM2-LM,3.47321
25,NorESM2-MM,3.54115
26,TaiESM1,5.38278
27,UKESM1-0-LL,6.20296
