,Modelo,JJA
0,ACCESS-CM2,4.85455
1,ACCESS-ESM1-5,4.13679
2,BCC-CSM2-MR,3.67036
3,CAMS-CSM1-0,2.46651
4,CanESM5,6.06656
5,CESM2_,5.04146
6,CESM2-WACCM,4.91995
7,CMCC-CM2-SR5,4.7161
8,CNRM-CM6-1,4.84984
9,CNRM-ESM2-1,4.40774
10,EC-Earth3,4.8227
11,FGOALS-g3,2.92656
12,HadGEM3-GC31-LL,5.57414
13,HadGEM3-GC31-MM,4.35126
14,IITM-ESM,2.84686
15,INM-CM4-8,3.1021
16,INM-CM5-0,3.02951
17,KACE-1-0-G,4.94103
18,MIROC6,3.04786
19,MIROC-ES2L,3.34208
20,MPI-ESM1-2-HR,3.28072
21,MPI-ESM1-2-LR,3.29941
22,MRI-ESM2-0,3.85424
23,NESM3,4.19589
24,NorESM2-LM,3.43141
25,NorESM2-MM,3.37996
26,TaiESM1,5.12027
27,UKESM1-0-LL,5.96802
