,Modelo,MA
0,ACCESS-CM2,4.66837
1,ACCESS-ESM1-5,4.0824
2,BCC-CSM2-MR,3.56771
3,CAMS-CSM1-0,2.54308
4,CanESM5,6.20221
5,CESM2_,4.92827
6,CESM2-WACCM,4.90071
7,CMCC-CM2-SR5,4.6532
8,CNRM-CM6-1,4.70971
9,CNRM-ESM2-1,4.3382
10,EC-Earth3,4.76913
11,FGOALS-g3,3.03335
12,HadGEM3-GC31-LL,5.35668
13,HadGEM3-GC31-MM,3.70182
14,IITM-ESM,2.96575
15,INM-CM4-8,3.08826
16,INM-CM5-0,3.05075
17,KACE-1-0-G,4.74419
18,MIROC6,3.28903
19,MIROC-ES2L,3.48531
20,MPI-ESM1-2-HR,3.26157
21,MPI-ESM1-2-LR,3.30663
22,MRI-ESM2-0,3.6555
23,NESM3,4.22365
24,NorESM2-LM,3.17318
25,NorESM2-MM,3.27333
26,TaiESM1,5.03902
27,UKESM1-0-LL,5.79165
