,Modelo,DJF_mean,DJF_error
0,ACCESS-CM2,5.1189,0.122993
1,ACCESS-ESM1-5,4.39654,0.0505761
2,BCC-CSM2-MR,3.9407,0.0660156
3,CAMS-CSM1-0,2.79752,0.0533484
4,CanESM5,6.53976,0.0262388
5,CESM2_,5.17349,0.09188
6,CESM2-WACCM,5.12856,0.0572026
7,CMCC-CM2-SR5,4.8464,0.108365
8,CNRM-CM6-1,5.16422,0.0601014
9,CNRM-ESM2-1,4.75607,0.059212
10,EC-Earth3,5.13301,0.064775
11,FGOALS-g3,3.27584,0.0345652
12,HadGEM3-GC31-LL,5.83499,0.0693361
13,HadGEM3-GC31-MM,3.98239,0.0164705
14,IITM-ESM,3.19657,0.0784086
15,INM-CM4-8,3.31079,0.0634349
16,INM-CM5-0,3.30362,0.0657005
17,KACE-1-0-G,5.22006,0.064533
18,MIROC6,3.53956,0.0519637
19,MIROC-ES2L,3.73124,0.0906137
20,MPI-ESM1-2-HR,3.55795,0.0278662
21,MPI-ESM1-2-LR,3.57751,0.0271992
22,MRI-ESM2-0,4.04325,0.0845959
23,NESM3,4.53477,0.0727202
24,NorESM2-LM,3.47321,0.090985
25,NorESM2-MM,3.54114,0.105126
26,TaiESM1,5.38278,0.118882
27,UKESM1-0-LL,6.20296,0.0977855
