,Modelo,JJA
0,ACCESS-CM2,5.04308
1,ACCESS-ESM1-5,1.45123
2,BCC-CSM2-MR,3.53832
3,CAMS-CSM1-0,0.422769
4,CanESM5,2.47025
5,CESM2_,4.87128
6,CESM2-WACCM,4.67956
7,CMCC-CM2-SR5,3.61053
8,CNRM-CM6-1,6.90189
9,CNRM-ESM2-1,6.58946
10,EC-Earth3,6.67863
11,FGOALS-g3,1.80455
12,HadGEM3-GC31-LL,5.1385
13,HadGEM3-GC31-MM,4.24937
14,IITM-ESM,4.95683
15,INM-CM4-8,0.960276
16,INM-CM5-0,1.2757
17,KACE-1-0-G,4.77611
18,MIROC6,6.01637
19,MIROC-ES2L,5.70814
20,MPI-ESM1-2-HR,4.79304
21,MPI-ESM1-2-LR,4.91667
22,MRI-ESM2-0,3.62168
23,NESM3,3.80532
24,NorESM2-LM,4.14193
25,NorESM2-MM,3.79567
26,TaiESM1,3.34522
27,UKESM1-0-LL,4.52963
