,Modelo,JJA_mean,JJA_error
0,ACCESS-CM2,4.86703,0.622405
1,ACCESS-ESM1-5,1.27967,0.152168
2,BCC-CSM2-MR,3.33529,0.695465
3,CAMS-CSM1-0,0.336498,0.314152
4,CanESM5,2.24157,0.0675705
5,CESM2_,4.66246,0.403829
6,CESM2-WACCM,4.53088,0.393646
7,CMCC-CM2-SR5,3.41835,0.646964
8,CNRM-CM6-1,6.73608,0.309024
9,CNRM-ESM2-1,6.43766,0.381675
10,EC-Earth3,6.55026,0.902297
11,FGOALS-g3,1.77634,0.160936
12,HadGEM3-GC31-LL,4.89454,0.364229
13,HadGEM3-GC31-MM,4.02276,0.333745
14,IITM-ESM,4.88192,0.926818
15,INM-CM4-8,0.927887,0.654293
16,INM-CM5-0,1.20054,0.551367
17,KACE-1-0-G,4.5602,0.638987
18,MIROC6,5.88824,0.310394
19,MIROC-ES2L,5.53338,0.472354
20,MPI-ESM1-2-HR,4.63765,0.25183
21,MPI-ESM1-2-LR,4.74403,0.212462
22,MRI-ESM2-0,3.46565,0.607451
23,NESM3,3.61039,0.404081
24,NorESM2-LM,3.98831,0.583617
25,NorESM2-MM,3.67496,0.864202
26,TaiESM1,3.16611,0.867022
27,UKESM1-0-LL,4.31644,0.300048
