,Modelo,MA_mean,MA_error
0,ACCESS-CM2,8.65071,0.683265
1,ACCESS-ESM1-5,5.92331,0.34147
2,BCC-CSM2-MR,5.77918,0.622884
3,CAMS-CSM1-0,5.28738,0.453661
4,CanESM5,10.0087,0.156256
5,CESM2_,5.55264,0.405276
6,CESM2-WACCM,5.29292,0.383637
7,CMCC-CM2-SR5,5.25459,0.719319
8,CNRM-CM6-1,7.60947,0.244995
9,CNRM-ESM2-1,6.41527,0.292321
10,EC-Earth3,6.63155,0.57103
11,FGOALS-g3,4.79395,0.331691
12,HadGEM3-GC31-LL,9.66357,0.349483
13,HadGEM3-GC31-MM,9.70811,0.362319
14,IITM-ESM,4.2444,0.559485
15,INM-CM4-8,4.50498,0.714279
16,INM-CM5-0,4.36072,0.541695
17,KACE-1-0-G,9.32215,0.600296
18,MIROC6,5.13224,0.277424
19,MIROC-ES2L,6.37557,0.493549
20,MPI-ESM1-2-HR,5.76602,0.203186
21,MPI-ESM1-2-LR,6.4199,0.195886
22,MRI-ESM2-0,5.43966,0.582877
23,NESM3,7.0427,0.347977
24,NorESM2-LM,3.42012,0.608993
25,NorESM2-MM,4.44842,0.695124
26,TaiESM1,4.96202,0.722788
27,UKESM1-0-LL,10.5594,0.379341
