,Modelo,ON_mean,ON_error
0,ACCESS-CM2,10.6707,1.35414
1,ACCESS-ESM1-5,5.73107,0.497572
2,BCC-CSM2-MR,11.7493,1.49823
3,CAMS-CSM1-0,2.68119,0.901176
4,CanESM5,9.34508,0.228687
5,CESM2_,10.3524,0.876089
6,CESM2-WACCM,8.57064,0.935581
7,CMCC-CM2-SR5,13.5269,1.58347
8,CNRM-CM6-1,8.71348,0.631091
9,CNRM-ESM2-1,6.51928,0.782733
10,EC-Earth3,5.79745,2.07769
11,FGOALS-g3,3.784,0.449395
12,HadGEM3-GC31-LL,12.0674,0.765104
13,HadGEM3-GC31-MM,9.30751,0.775013
14,IITM-ESM,1.2427,1.94737
15,INM-CM4-8,1.95044,0.858972
16,INM-CM5-0,4.81833,1.09607
17,KACE-1-0-G,10.8729,1.48747
18,MIROC6,6.70866,0.746764
19,MIROC-ES2L,7.06207,1.16677
20,MPI-ESM1-2-HR,7.21812,0.578487
21,MPI-ESM1-2-LR,8.74671,0.563684
22,MRI-ESM2-0,6.23364,1.51968
23,NESM3,8.23808,1.07421
24,NorESM2-LM,8.73273,1.33383
25,NorESM2-MM,10.9377,1.88162
26,TaiESM1,13.5543,1.86593
27,UKESM1-0-LL,13.8359,0.744781
