,Modelo,JJA
0,ACCESS-CM2,9.05963
1,ACCESS-ESM1-5,8.37102
2,BCC-CSM2-MR,6.95654
3,CAMS-CSM1-0,4.86597
4,CanESM5,11.9841
5,CESM2_,9.00073
6,CESM2-WACCM,9.09895
7,CMCC-CM2-SR5,5.75026
8,CNRM-CM6-1,9.1111
9,CNRM-ESM2-1,8.58125
10,EC-Earth3,8.10112
11,FGOALS-g3,6.28389
12,HadGEM3-GC31-LL,9.42447
13,HadGEM3-GC31-MM,6.79909
14,IITM-ESM,5.94487
15,INM-CM4-8,5.46587
16,INM-CM5-0,5.19077
17,KACE-1-0-G,8.50108
18,MIROC6,6.0784
19,MIROC-ES2L,7.06154
20,MPI-ESM1-2-HR,6.39912
21,MPI-ESM1-2-LR,6.57211
22,MRI-ESM2-0,7.46133
23,NESM3,8.18616
24,NorESM2-LM,6.66348
25,NorESM2-MM,6.64035
26,TaiESM1,8.99451
27,UKESM1-0-LL,9.95979
