,Modelo,MA
0,ACCESS-CM2,8.91229
1,ACCESS-ESM1-5,7.8324
2,BCC-CSM2-MR,6.40408
3,CAMS-CSM1-0,5.00174
4,CanESM5,11.4884
5,CESM2_,9.17192
6,CESM2-WACCM,9.31613
7,CMCC-CM2-SR5,5.2005
8,CNRM-CM6-1,9.23579
9,CNRM-ESM2-1,8.55551
10,EC-Earth3,7.51396
11,FGOALS-g3,5.96906
12,HadGEM3-GC31-LL,9.41727
13,HadGEM3-GC31-MM,7.38118
14,IITM-ESM,5.69548
15,INM-CM4-8,5.31853
16,INM-CM5-0,5.06615
17,KACE-1-0-G,8.36121
18,MIROC6,5.96796
19,MIROC-ES2L,6.94243
20,MPI-ESM1-2-HR,6.14604
21,MPI-ESM1-2-LR,6.24193
22,MRI-ESM2-0,7.48833
23,NESM3,8.3083
24,NorESM2-LM,5.90532
25,NorESM2-MM,6.09177
26,TaiESM1,8.52415
27,UKESM1-0-LL,9.9427
