,Modelo,ON
0,ACCESS-CM2,8.69588
1,ACCESS-ESM1-5,7.21861
2,BCC-CSM2-MR,6.64232
3,CAMS-CSM1-0,4.94096
4,CanESM5,11.5149
5,CESM2_,8.32835
6,CESM2-WACCM,8.29237
7,CMCC-CM2-SR5,5.59007
8,CNRM-CM6-1,9.06563
9,CNRM-ESM2-1,8.50072
10,EC-Earth3,7.71677
11,FGOALS-g3,6.18428
12,HadGEM3-GC31-LL,9.04272
13,HadGEM3-GC31-MM,6.64543
14,IITM-ESM,5.92813
15,INM-CM4-8,5.63655
16,INM-CM5-0,5.03125
17,KACE-1-0-G,8.33186
18,MIROC6,5.99944
19,MIROC-ES2L,6.98799
20,MPI-ESM1-2-HR,6.21535
21,MPI-ESM1-2-LR,6.29861
22,MRI-ESM2-0,7.25305
23,NESM3,8.06493
24,NorESM2-LM,5.94034
25,NorESM2-MM,6.12305
26,TaiESM1,8.5894
27,UKESM1-0-LL,9.46907
