,Modelo,DJF
0,ACCESS-CM2,8.59161
1,ACCESS-ESM1-5,7.40959
2,BCC-CSM2-MR,6.70358
3,CAMS-CSM1-0,5.10645
4,CanESM5,11.3256
5,CESM2_,8.73521
6,CESM2-WACCM,8.75826
7,CMCC-CM2-SR5,5.60698
8,CNRM-CM6-1,9.15939
9,CNRM-ESM2-1,8.48033
10,EC-Earth3,7.62122
11,FGOALS-g3,6.22221
12,HadGEM3-GC31-LL,9.09473
13,HadGEM3-GC31-MM,6.99794
14,IITM-ESM,5.58968
15,INM-CM4-8,5.49954
16,INM-CM5-0,4.90926
17,KACE-1-0-G,8.46338
18,MIROC6,5.75122
19,MIROC-ES2L,6.66809
20,MPI-ESM1-2-HR,6.30193
21,MPI-ESM1-2-LR,6.31339
22,MRI-ESM2-0,7.49272
23,NESM3,8.10806
24,NorESM2-LM,5.66133
25,NorESM2-MM,5.97693
26,TaiESM1,8.59087
27,UKESM1-0-LL,9.535
