,Modelo,DJF_mean,DJF_error
0,ACCESS-CM2,8.5916,0.229051
1,ACCESS-ESM1-5,7.40958,0.0876446
2,BCC-CSM2-MR,6.70363,0.117762
3,CAMS-CSM1-0,5.10646,0.120538
4,CanESM5,11.3256,0.0498161
5,CESM2_,8.73523,0.163818
6,CESM2-WACCM,8.75826,0.105287
7,CMCC-CM2-SR5,5.60701,0.0763793
8,CNRM-CM6-1,9.15935,0.112649
9,CNRM-ESM2-1,8.48032,0.110116
10,EC-Earth3,7.62119,0.107354
11,FGOALS-g3,6.2222,0.0680396
12,HadGEM3-GC31-LL,9.09477,0.117043
13,HadGEM3-GC31-MM,6.99794,0.0287427
14,IITM-ESM,5.58968,0.157179
15,INM-CM4-8,5.49953,0.104233
16,INM-CM5-0,4.90923,0.0852374
17,KACE-1-0-G,8.46341,0.121448
18,MIROC6,5.75119,0.0983077
19,MIROC-ES2L,6.66812,0.234692
20,MPI-ESM1-2-HR,6.30193,0.0509717
21,MPI-ESM1-2-LR,6.31337,0.0505829
22,MRI-ESM2-0,7.49272,0.163723
23,NESM3,8.108,0.144643
24,NorESM2-LM,5.66133,0.198635
25,NorESM2-MM,5.97688,0.240064
26,TaiESM1,8.59084,0.21204
27,UKESM1-0-LL,9.51775,0.152294
