,Modelo,JJA_mean,JJA_error
0,ACCESS-CM2,9.05966,0.143441
1,ACCESS-ESM1-5,8.37105,0.0623118
2,BCC-CSM2-MR,6.95653,0.0776699
3,CAMS-CSM1-0,4.86598,0.0827732
4,CanESM5,11.9841,0.0304248
5,CESM2_,9.00072,0.0970829
6,CESM2-WACCM,9.09895,0.0604415
7,CMCC-CM2-SR5,5.75031,0.15172
8,CNRM-CM6-1,9.11113,0.0665706
9,CNRM-ESM2-1,8.58124,0.0662014
10,EC-Earth3,8.1011,0.0744172
11,FGOALS-g3,6.28389,0.0394862
12,HadGEM3-GC31-LL,9.42439,0.0732491
13,HadGEM3-GC31-MM,6.79912,0.0700018
14,IITM-ESM,5.9449,0.107645
15,INM-CM4-8,5.4659,0.0706713
16,INM-CM5-0,5.19077,0.0573522
17,KACE-1-0-G,8.50107,0.0731615
18,MIROC6,6.07843,0.0641536
19,MIROC-ES2L,7.06161,0.145849
20,MPI-ESM1-2-HR,6.39909,0.0360113
21,MPI-ESM1-2-LR,6.57211,0.032745
22,MRI-ESM2-0,7.46135,0.110879
23,NESM3,8.18617,0.0884062
24,NorESM2-LM,6.66348,0.131947
25,NorESM2-MM,6.64038,0.16043
26,TaiESM1,8.99451,0.132122
27,UKESM1-0-LL,9.95981,0.100345
