,Modelo,ON_mean,ON_error
0,ACCESS-CM2,8.69586,0.171073
1,ACCESS-ESM1-5,7.21861,0.0618615
2,BCC-CSM2-MR,6.64232,0.0956005
3,CAMS-CSM1-0,4.94096,0.0865074
4,CanESM5,11.5149,0.036331
5,CESM2_,8.32837,0.106196
6,CESM2-WACCM,8.29236,0.0686662
7,CMCC-CM2-SR5,5.59009,0.0746941
8,CNRM-CM6-1,9.06563,0.0805035
9,CNRM-ESM2-1,8.50069,0.0777544
10,EC-Earth3,7.71674,0.0697046
11,FGOALS-g3,6.18428,0.0493006
12,HadGEM3-GC31-LL,9.04271,0.0859293
13,HadGEM3-GC31-MM,6.64539,0.0187146
14,IITM-ESM,5.9281,0.130222
15,INM-CM4-8,5.63657,0.0812609
16,INM-CM5-0,5.03125,0.0697242
17,KACE-1-0-G,8.33186,0.0813316
18,MIROC6,5.99945,0.07396
19,MIROC-ES2L,6.98801,0.166535
20,MPI-ESM1-2-HR,6.21541,0.0366055
21,MPI-ESM1-2-LR,6.2986,0.0371512
22,MRI-ESM2-0,7.25304,0.114698
23,NESM3,8.06496,0.102958
24,NorESM2-LM,5.94035,0.135204
25,NorESM2-MM,6.12303,0.160955
26,TaiESM1,8.5894,0.146197
27,UKESM1-0-LL,9.46906,0.11542
